sleeptime_achieve,exercisetime_achieve,smartphone_achieve,masturbation_achieve,inputtime_achieve,outputtime_achieve,dentifrice_achieve,dentalfloss_achieve
1,0,0,0,0,0,1,1
1,0,0,0,1,1,1,1
1,0,0,1,0,0,1,1
1,0,0,0,1,0,1,1
1,0,1,0,0,1,1,1
1,0,1,1,1,0,1,1
1,0,0,0,0,0,1,1
1,0,0,0,0,0,1,1
1,0,0,1,1,0,0,1
1,0,0,0,0,1,1,1
0,0,0,1,0,0,1,1
1,1,1,1,1,1,1,1
1,1,0,1,0,0,1,1
1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,1
1,1,0,0,0,0,1,1
0,0,0,1,0,0,1,1
1,0,1,0,0,0,0,1
1,0,0,1,0,0,0,1
1,1,0,0,0,0,1,1
1,1,0,0,1,0,1,1
1,1,0,0,0,0,1,1
1,1,0,0,0,1,1,1
1,0,0,0,0,1,1,1
1,0,1,1,1,1,1,1
1,0,0,1,1,1,0,1
1,0,0,1,0,0,1,1
